Stim,Stim_Deriv,Cont,Cont_Deriv
4.713907e-02,-5.266527e-02,-1.374670e+00,4.342881e-02
-5.646190e-02,-2.329145e-01,-1.277591e+00,2.244246e-01
-4.186873e-01,-3.182330e-01,-9.202906e-01,4.126215e-01
-6.929226e-01,-6.429492e-02,-4.468127e-01,5.202828e-01
-5.472698e-01,2.215219e-01,1.258175e-01,5.081207e-01
-2.498726e-01,2.550207e-01,5.749798e-01,3.284099e-01
-3.722420e-02,1.601019e-01,7.881951e-01,1.253898e-01
7.033372e-02,7.321605e-02,8.313205e-01,-8.917228e-04
1.092097e-01,1.949170e-02,7.919734e-01,-5.521635e-02
1.093187e-01,-8.453258e-03,7.264490e-01,-6.660583e-02
9.230477e-02,-1.832484e-02,6.643218e-01,-5.726418e-02
7.267069e-02,-1.748546e-02,6.174798e-01,-4.146883e-02
5.733568e-02,-1.255162e-02,5.869427e-01,-2.710194e-02
4.756937e-02,-7.635776e-03,5.688340e-01,-1.696669e-02
4.206613e-02,-4.226805e-03,5.585671e-01,-1.084104e-02
3.911780e-02,-2.295865e-03,5.527095e-01,-7.445682e-03
3.747646e-02,-1.342754e-03,5.492332e-01,-5.570821e-03
3.643437e-02,-9.170464e-04,5.471253e-01,-4.417753e-03
3.564445e-02,-7.335712e-04,5.459551e-01,-3.563133e-03
3.496931e-02,-6.421289e-04,5.455564e-01,-2.810174e-03
3.436228e-02,-5.882970e-04,5.458922e-01,-2.076503e-03
3.379481e-02,-5.527374e-04,5.469608e-01,-1.335894e-03
3.325890e-02,-5.202678e-04,5.487778e-01,-5.767532e-04
3.275638e-02,-4.860901e-04,5.513648e-01,2.018130e-04
3.228883e-02,-4.504631e-04,5.547389e-01,9.953041e-04
3.185757e-02,-4.136606e-04,5.589129e-01,1.798952e-03
3.146362e-02,-3.760226e-04,5.638945e-01,2.607898e-03
3.110764e-02,-3.458611e-04,5.696864e-01,3.425064e-03
3.077402e-02,-3.428318e-04,5.763024e-01,4.264605e-03
3.042409e-02,-3.490729e-04,5.837735e-01,5.119071e-03
3.007800e-02,-3.103023e-04,5.920985e-01,5.967361e-03
2.980562e-02,-2.269257e-04,6.012663e-01,6.783845e-03
2.962627e-02,-1.441587e-04,6.112244e-01,7.537798e-03
2.951943e-02,-8.256332e-05,6.219003e-01,8.224214e-03
2.946328e-02,-3.884072e-05,6.332314e-01,8.853971e-03
2.944388e-02,-6.023773e-06,6.451670e-01,9.435592e-03
2.945336e-02,2.991134e-05,6.576615e-01,9.980612e-03
2.950583e-02,9.620121e-05,6.706873e-01,1.051165e-02
2.964789e-02,1.817865e-04,6.842441e-01,1.103017e-02
2.987153e-02,2.292811e-04,6.983072e-01,1.152174e-02
3.010858e-02,2.278700e-04,7.128473e-01,1.196363e-02
3.032940e-02,2.157795e-04,7.277944e-01,1.232275e-02
3.054227e-02,2.142631e-04,7.430530e-01,1.258877e-02
3.076005e-02,2.232176e-04,7.585323e-01,1.276902e-02
3.099082e-02,2.381885e-04,7.741516e-01,1.287181e-02
3.123855e-02,2.555465e-04,7.898368e-01,1.290227e-02
3.150404e-02,-1.304159e-04,8.055173e-01,1.245991e-02
3.097983e-02,-5.155179e-02,8.203179e-01,-3.908463e-02
-7.159743e-02,-2.319134e-01,7.329096e-01,-2.204401e-01
-4.328441e-01,-3.172549e-01,3.849979e-01,-4.089050e-01
-7.061018e-01,-6.330510e-02,-7.934536e-02,-5.168232e-01
-5.594469e-01,2.225297e-01,-6.431006e-01,-5.049403e-01
-2.610361e-01,2.560136e-01,-1.083687e+00,-3.255650e-01
-4.741561e-02,1.610543e-01,-1.288698e+00,-1.229410e-01
6.107529e-02,7.416073e-02,-1.324039e+00,2.899353e-03
1.009078e-01,2.047168e-02,-1.277370e+00,5.676199e-02
1.020203e-01,-7.433508e-03,-1.204985e+00,6.770366e-02
8.604234e-02,-1.728243e-02,-1.136432e+00,5.794151e-02
6.745714e-02,-1.643763e-02,-1.083570e+00,4.174904e-02
5.316895e-02,-1.151921e-02,-1.047401e+00,2.699596e-02
4.442068e-02,-6.655278e-03,-1.024045e+00,1.646507e-02
3.986041e-02,-3.313778e-03,-1.008937e+00,9.938576e-03
3.779518e-02,-1.409439e-03,-9.986338e-01,6.157001e-03
3.704361e-02,-4.412632e-04,-9.910888e-01,3.935389e-03
3.691473e-02,-3.471244e-06,-9.852288e-01,2.505519e-03
3.703874e-02,1.688593e-04,-9.805435e-01,1.448455e-03
3.725453e-02,2.295320e-04,-9.767976e-01,5.553997e-04
3.749988e-02,2.402282e-04,-9.738983e-01,-2.659742e-04
3.773706e-02,2.256482e-04,-9.717951e-01,-1.046334e-03
3.795325e-02,2.045918e-04,-9.704565e-01,-1.797929e-03
3.814831e-02,1.839563e-04,-9.698564e-01,-2.520223e-03
3.832323e-02,1.643432e-04,-9.699624e-01,-3.206480e-03
3.847906e-02,1.456279e-04,-9.707349e-01,-3.850025e-03
3.861655e-02,1.274639e-04,-9.721280e-01,-4.444661e-03
3.873606e-02,1.095438e-04,-9.740897e-01,-4.984753e-03
3.883770e-02,9.160133e-05,-9.765630e-01,-5.465386e-03
