,Subject,ai_dmn,cope,fb,roi,roi_nogsr,signal,signal_nogsr
52,CCD026,9.27655535918,3,FEEDBACK,0.210283002031,1.74507362506,-1.15891322168,-0.122719685242
53,CCD026,9.27655535918,4,FEEDBACK,0.154658444849,1.06242053888,-0.898499051198,-0.122395265905
54,CCD026,5.94434263551,3,NOFEEDBACK,-0.34959684463,-4.61470974679,2.79235369448,-0.171498616957
55,CCD026,5.94434263551,4,NOFEEDBACK,-0.32646336911,-4.48975827357,1.92931226767,-0.197357758337
56,CCD027,4.09330352215,3,NOFEEDBACK,-0.267601228643,-6.37685603674,1.50603644283,-0.100835449986
57,CCD027,4.09330352215,4,NOFEEDBACK,-0.308240651034,-6.79385021647,5.71171740719,0.051370357744
58,CCD027,6.22301885287,3,FEEDBACK,0.175227186435,4.07111948624,0.888499551955,-0.0948627203212
59,CCD027,6.22301885287,4,FEEDBACK,0.0721377304337,2.31454150844,5.12160400861,0.0835999015024
60,CCD031,4.00284658614,3,FEEDBACK,-0.0979002839727,-1.55871368573,1.04267467251,-0.110859877685
61,CCD031,4.00284658614,4,FEEDBACK,-0.0686666109452,-1.61317253063,0.318739728375,-0.183451490473
62,CCD031,3.99255305234,3,NOFEEDBACK,-0.160376414797,-11.7539559958,0.794370452868,-0.105756053246
63,CCD031,3.99255305234,4,NOFEEDBACK,-0.200633792014,-10.0761709748,0.6800620956,-9.51811892952e-05
64,CCD032,5.87083276276,3,NOFEEDBACK,-0.309519341121,-2.99087027344,1.38464943732,-0.116339768402
65,CCD032,5.87083276276,4,NOFEEDBACK,-0.249900746812,-2.41084726694,0.328757530815,-0.133647425141
66,CCD032,4.92105782703,3,FEEDBACK,-0.17099103785,-1.66956422384,3.42490281869,-0.0377628809583
67,CCD032,4.92105782703,4,FEEDBACK,-0.0802905337794,-0.907538091319,0.964923093063,-0.0579387985363
68,CCD040,2.42178953845,3,NOFEEDBACK,0.0337578714436,-1.30679468355,-1.45837938449,-0.18937672442
69,CCD040,2.42178953845,4,NOFEEDBACK,-0.0252995388348,-2.06269603645,1.07612941613,-0.118467286692
70,CCD040,5.77667303913,3,FEEDBACK,0.24658876349,1.21586612295,-4.51277441703,-0.255809687212
71,CCD040,5.77667303913,4,FEEDBACK,0.221538028014,0.00442655293993,-5.66345263551,-0.396962754504
72,CCD041,3.04055444282,3,NOFEEDBACK,-0.123435568178,-1.0319100521,2.09975800213,-0.00146432242802
73,CCD041,3.04055444282,4,NOFEEDBACK,-0.0937957906478,-0.819713569211,1.31143316855,0.0486429228455
74,CCD041,6.07695466075,3,FEEDBACK,0.0509664066043,-0.893639797304,-0.0468759315527,-0.278110160338
75,CCD041,6.07695466075,4,FEEDBACK,-0.00484797053108,-1.16848540989,0.0865805772303,-0.146387942285
76,CCD042,6.91850940587,3,FEEDBACK,-0.000232552587053,-0.83289989389,1.35347833291,-0.0786182487543
77,CCD042,6.91850940587,4,FEEDBACK,-0.0346924505399,-1.4536525474,1.78587942156,-0.0578439088315
78,CCD042,5.72958340954,3,NOFEEDBACK,-0.092914930753,-0.367066721669,0.797071438529,0.0197830316592
79,CCD042,5.72958340954,4,NOFEEDBACK,-0.0528429077648,-0.225962383738,-0.249815307842,-0.00994771758026
80,CCD052,5.59001224921,3,FEEDBACK,0.0518882375142,0.251789773505,0.196087600707,-0.0325897682749
81,CCD052,5.59001224921,4,FEEDBACK,0.0704377792672,0.486512130765,0.593349443806,0.0343041711481
82,CCD052,3.63019898586,3,NOFEEDBACK,-0.158780797075,-1.13672069084,0.17634269282,-0.131452819546
83,CCD052,3.63019898586,4,NOFEEDBACK,-0.0851625102681,-0.814447616151,0.113311036562,-0.107907468544
84,CCD053,8.2933530282,3,FEEDBACK,-0.0237285563889,-20.7491090853,-2.32933659466,-0.418431391286
85,CCD053,8.2933530282,4,FEEDBACK,-0.0706381019434,-24.830431496,-2.24293461384,-0.396951175187
86,CCD053,11.124539603,3,NOFEEDBACK,-0.278857370956,-2.39209971098,-3.12864793637,-0.316414033878
87,CCD053,11.124539603,4,NOFEEDBACK,-0.224347049695,-2.0849485769,-1.69006629431,-0.254751677092
88,CCD059,4.58072832681,3,NOFEEDBACK,-0.205088138872,-173.987278595,0.451902070144,-0.127715486665
89,CCD059,4.58072832681,4,NOFEEDBACK,-0.23885185147,-223.503198234,0.551747676539,-0.188791341054
90,CCD059,5.02519643961,3,FEEDBACK,0.155998694826,2.38646428316,0.00412927106088,-0.056833717197
91,CCD059,5.02519643961,4,FEEDBACK,0.0280510988934,-0.285536944207,0.280285026463,-0.0631991047401
92,CCD060,7.06787991064,3,NOFEEDBACK,0.035154883253,-2.21170664482,-3.51015921213,-0.371612248867
93,CCD060,7.06787991064,4,NOFEEDBACK,0.00487030104511,-2.11651678504,-1.69798957439,-0.228271312928
94,CCD060,7.60965987066,3,FEEDBACK,-0.00392013695844,-0.834993823919,-0.191408105556,-0.108035593606
95,CCD060,7.60965987066,4,FEEDBACK,0.0542111796754,-0.471011140783,0.637311863043,-0.00961204953079
96,CCD063,5.05942284977,3,FEEDBACK,0.0347051605555,-0.645983258147,0.0509630937169,-0.060437204415
97,CCD063,5.05942284977,4,FEEDBACK,-0.0787848349097,-1.77468604599,1.68122250477,-0.0209197292098
98,CCD063,4.23250722543,3,NOFEEDBACK,-0.199088926208,-7.82796788056,-0.676117546697,-0.0921843079853
99,CCD063,4.23250722543,4,NOFEEDBACK,-0.207523222408,-8.68050649371,0.827222791842,-0.0501222453213
100,CCD064,9.39866041225,3,FEEDBACK,-0.156077890723,-14.6193133013,0.445496909342,-0.250889950164
101,CCD064,9.39866041225,4,FEEDBACK,-0.126469992749,-14.8003676713,0.499434395434,-0.234998062479
102,CCD064,8.19276533229,3,NOFEEDBACK,-0.198704915846,-2.23190807395,0.917737502699,-0.222469947291
103,CCD064,8.19276533229,4,NOFEEDBACK,-0.0884884525819,-1.41818828436,0.274049470207,-0.208297925329
104,CCD067,4.96110983297,3,FEEDBACK,-0.112734245089,-0.697139883328,-1.70867985466,-0.152352174154
105,CCD067,4.96110983297,4,FEEDBACK,-0.199787216115,-1.41029661785,-1.14741654464,-0.183547445565
106,CCD067,1.4593857181,3,NOFEEDBACK,-0.0983574368525,-2.10175938367,0.595050278655,-0.00585786696208
107,CCD067,1.4593857181,4,NOFEEDBACK,-0.0752092075289,-2.16034595709,-0.659806866413,-0.0667156846438
108,CCD071,4.37289545785,3,FEEDBACK,-0.0981046048608,-0.736745561454,0.0888352906869,-0.0912161316241
109,CCD071,4.37289545785,4,FEEDBACK,-0.162705884185,-1.68978715814,0.706457914194,-0.126272292853
110,CCD071,4.37226440627,3,NOFEEDBACK,-0.24575863114,-1.56937276921,2.65588623931,-0.0177387921175
111,CCD071,4.37226440627,4,NOFEEDBACK,-0.271668843933,-1.89567522253,1.91520847887,-0.0841821458312
112,CCD073,2.6106917305,3,FEEDBACK,0.236865377864,0.613335090244,-2.13650341193,-0.135907315646
113,CCD073,2.6106917305,4,FEEDBACK,0.214989721707,0.691288178039,-2.40776880558,-0.131170690304
114,CCD073,1.0247849331,3,NOFEEDBACK,0.0425202910377,-0.0392828414392,-3.05512674399,-0.138938029781
115,CCD073,1.0247849331,4,NOFEEDBACK,-0.0759963522241,-0.314919526877,0.0337181706115,-0.0106596307485
116,CCD074,3.5419331505,3,NOFEEDBACK,-0.054974482147,-1.64648188271,1.24772959371,-0.104190244729
117,CCD074,3.5419331505,4,NOFEEDBACK,-0.073506630994,-2.27890956592,1.90790652334,-0.117710535921
118,CCD074,6.94529425929,3,FEEDBACK,0.233447373075,0.782098330746,1.45914134264,-0.058919055142
119,CCD074,6.94529425929,4,FEEDBACK,0.254892397554,0.888442220067,2.17144492321,-0.0382735149899
120,CCD081,9.92570744066,3,NOFEEDBACK,-0.0709039031942,-2.06490404078,1.34075700881,-0.0784502767991
